INDEX,UNIQUE JOBS,Raw Material,Requires Vehicle,Requires Recipe,IS_CRIMINAL,Is Activity
414,15 Bitterweed to be brought to Armadillo Medical,,,,,
415,Deliver 5 Ram's Head Mushrooms to Valentine Medical,,,,,
416,Bring 5 Wisteria to Blackwater Medical,,,,,
417,Crates of 15 Bottles of Moonshine needed at 5 drop points,,,,,
418,Bring 1 Diamondback Snake Carcass to Blackwater,,,,,
419,4 customers from McFarlane's Ranch to Shady Belle are expecting Plank deliveries. ,,,,,
420,Deliver 20 units of Chopped Wood to Annesburg,,,,,
421,Deliver Ice Blocks to 5 Customers,,,,,
422,Deliver crates of 15 Milk Bottles to 5 destinations,,,,,
423,8 Customers are eagerly awaiting their Ice Block deliveries!,,,,,
424,Bring 2 Pheasant Carcasses to the Valentine Butcher,,,,,
425,Deliver 40 units of Raw Ammolite J.B. Brownlee Watchmakers in Saint Denis.,,,,,
426,Deliver 20 Bottles of Milk in crates to 4 customers. Last stop Colter.,,,,,
427,"Deliver Planks to Strawberry, Hanging Dog Ranch, and Colter!",,,,,
428,Bring 1 Diamondback Snake Carcass to Tumbleweed,,,,,
429,5 Violet Snowdrops needed at Strawberry Medical Office,,,,,
430,Bring 8 Burdock Root to the Strawberry Medical Office,,,,,
431,Bring 1 Black-Tailed Rattlesnake Carcass to the butcher in Armadillo,,,,,
432,Crates of 10 bottles of Moonshine each to be dropped of at 5 separate locations,,,,,
433,Bring 2 Striped Skunk Carcasses to the butcher in Strawberry,,,,,
434,Bring 2 good or perfect Fox Pelts to Strawberry Butcher,,,,,
435,Bring 20 Oregano to Saint Denis Medical,,,,,
436,Deliver 10 glasses of Long Island Iced Tea to the Saloon in Tumbleweed,,,,,
437,Deliver 10 Cut Diamonds to J.B. Brownlee Watchmakers in Saint Denis.,,,,,
438,7 drops of Planks. Big Valley to the Roanoke Ridge,,,,,
439,Bring 2 American Muskrat Carcasses to the butcher in Butcher's Creek,,,,,
440,Deliver 20 units of Coal to Van Horn,,,,,
441,Deliver 20 units of Coal to Rhodes Station,,,,,
442,Please deliver 20 units of Chopped Wood in a Crate to 4 customers East of Strawberry.,,,,,
443,Deliver 15 crated Moonshine to 4 customers.,,,,,
444,20 Cardinal Flowers needed at Braithwaite Manor,,,,,
445,Bring 1 Opossum Carcass to the Butcher's Creek Butcher,,,,,
446,Deliver 5 Roasted Potatoes to the Mess Hall,,,,,
447,Bring 15 tumblers of Old Fashioned to the Rhodes Saloon,,,,,
448,Deliver 40 Flints to the Village of Wapiti,,,,,
449,Deliver 5 Servings of Carrot Cake to the Rhodes Church,,,,,
450,Deliver 10 Cut Rubies to J.B. Brownlee Watchmakers in Saint Denis.,,,,,
451,7 Golden Currants needed at Armadillo Medical Tents,,,,,
452,Deliver 10 crated Moonshine to 5 customers with haste!,,,,,
453,Deliver 30 units of Raw Ammolite to the Blackwater Gunstore,,,,,
454,Drop off crates with 10 Moonshine to 3 eagerly waiting customers,,,,,
455,Deliver 20 units of Coal to Annesburg Rail Yard,,,,,
456,Bring 4 American Ginseng to the Doc's Office,,,,,
457,"With Haste, Kindly Deliver 30 Units of Raw Ammolite to the Annesburg Gunsmith",,,,,
458,Deliver 10 servings of Long Island Iced Tea to the saloon in Tumbleweed,,,,,
459,Bring 2 Rabbit Carcasses to the butcher in Wapiti Village,,,,,
460,Deliver 10 servings of Long Island Iced Tea to the Bastille in Saint Denis,,,,,
461,15 American Ginseng to be delivered to Saint Denis Medical Office,,,,,
462,Deliver 4 Boiled Potatoes to the Mess Hall,,,,,
463,Bring 4 Pronghorn Deer Carcasses to Blackwater,,,,,
464,Bring 4 Beaver Carcasses to the Strawberry butcher,,,,,
465,Bring 10 Cut Sapphires to Rathskeller for trade,,,,,
466,Deliver 20 units of Chopped Wood to Blackwater,,,,,
467,Deliver 30 Dice to Benedict Point,,,,,
468,Deliver 2 Cow Carcasses to the Butcher in Saint Denis,,,,,
469,Deliver Ice Blocks to nine locations ending in Tumbleweed,,,,,
470,Deliver 10 Long Island Iced Teas to the Rhodes Parlour House,,,,,
471,Deliver 10 pieces of Chopped Wood to the Colter Freight Depot,,,,,
472,Deliver 10 Vials of Blood to the Abandoned Mansion,,,,,
473,Deliver 12 units of Chopped Wood to Valentine,,,,,
474,15 Bitterweed to be Brought to Armadillo Medical,,,,,
475,Deliver 10 units of Chopped Wood to Blackwater,,,,,
476,10 Servings of Cornbread needed at Rhodes Church,,,,,
477,Deliver Crates of 5 Bottles of Milk each to 4 customers.,,,,,
478,Deliver 20 crated Moonshine to 4 customers.,,,,,
479,5 Wild Mint needed at the Colter Saloon,,,,,
480,30 Bottles of Milk in Crates to be delivered to Strawberry and Colter,,,,,
481,Bring 4 Chickens to the butcher at Thieves' Landing,,,,,
482,Deliver 10 Units of Crated Coal to Four Locations from Don Julio to Blackwater,,,,,
483,Deliver Crates of 20 Coal each to 4 locations from Ambarino to Cumberland,,,,,
484,Deliver 10 Long Island Iced Teas to the Bastille in Saint Denis,,,,,
485,Bring 5 Agarita Wildflowers to the Strawberry Medical Office,,,,,
486,Bring 40 Toe Nails to the old hut in the Grizzlies,,,,,
487,Bring 4 Muskrat Carcasses to the butcher in Strawberry,,,,,
488,Bring 3 Cut Emeralds to Rathskeller,,,,,
489,Deliver 50 Ice Cubes to the Armadillo General Store,,,,,
490,Bring 10 Tumblers of Old Fashioned to the Saint Denis Sheriff Office,,,,,
491,Crates of 10 Bottles of Moonshine needed at 4 drop points,,,,,
492,Bring 3 Gila Monster Carcasses to the butcher in Tumbleweed,,,,,
493,5 Agarita Wildflower requested at Painted Sky Ranch,,,,,
494,Bring 5 Cut Diamonds to Plainview,,,,,
495,Deliver 15 pieces of Chopped Wood to Adler Ranch in North Ambarino,,,,,
496,Deliver 20 units of Raw Fluorite to Benedict Point,,,,,
497,Please deliver 10 bottles of the finest Milk to Adler Ranch in northern Ambarino.,,,,,
498,Offer 1 Blackberry at the Tower,,,,,
499,Five locations require delivery of Crates with 40 Coal each,,,,,
500,Deliver 20 Vials of Blood to Blackwater Medical,,,,,
501,Deliver 10 Flint to the Incinerator,,,,,
502,Please deliver crates of 20 units of Coal to 3 locations.,,,,,
503,Bring 3 Desert Iguana Carcasses to Armadillo,,,,,
504,Bring 10 Chanterelles to the House at Lake Don Julio,,,,,
505,Deliver 5 slices of Carrot Cake to the Rhodes Church,,,,,
506,Bring 4 Cat Carasses to Butcher Creek Village,,,,,
507,Bring 15 Cardinal Flowers to the Armadillo Medical Tents,,,,,
508,Deliver crates containing 10 Milk Bottles to six destinations.,,,,,
509,Bring 3 Whitetail Deer Carcasses to Butcher's Creek,,,,,
510,Deliver 3 Gold Bars to the Gaptooth Still,,,,,
511,40 Packets of ground Tobacco requested at Strawberry Freight Depot,,,,,
512,Bring 3 Chesapeake Bay Retriever Carcasses to the butcher in Saint Denis,,,,,
513,8 Yarrow to the Blackwater Medical Tents,,,,,
514,Bring 4 Rabbit Carcasses to the butcher in Blackwater,,,,,
515,Drop off crates with 10 Moonshine to 3 places. Valentine is the closest drop.,,,,,
516,Bring 10 Milkweeds to the Valentine Medical Office,,,,,
517,Bring 30 units of Flint to Benedict Point,,,,,
518,Deliver 20 Flints to the Village of Wapiti,,,,,
519,Bring 1 good or perfect Whitetail Buck Carcass to the butcher in Strawberry,,,,,
520,Crates of 10 Coal each going to Bacchus and Wapiti,,,,,
521,Deliver 30 Units of Raw Ammolite to the Valentine Gunsmith,,,,,
522,Deliver 5 bowls of Potato Soup to the Saloon in Tumbleweed,,,,,
523,Deliver Crates of 25 Coal each to 6 customers,,,,,
524,Deliver 30 units of Raw Fluorite to Riggs Station.,,,,,
525,Bring 10 Hummingbird Sage to the Blackwater Furniture Store,,,,,
526,Deliver 20 units of Coal to Emerald Station,,,,,
527,Bring 3 Deer Carcasses to the butcher in Wapiti Village,,,,,
528,Supply the Millesani Claim with 10 Torches.,,,,,
529,Bring 9 Cut Sapphires to Rathskeller,,,,,
530,Bring 10 Cardinal Flowers to Macfarlane Ranch,,,,,
531,Deliver 20 units of Coal to Cornwall Kerosene & Tar,,,,,
532,Deliver 60 units of Coal to Armadillo Train Station,,,,,
533,Bring 2 Desert Iguana Carcasses to Tumbleweed,,,,,
534,Crates of 20 Coal each to be dropped at 4 locations.,,,,,
535,Bring 5 Bowls of Peach Cobbler to Colter,,,,,
536,Bring 2 Desert Bighorn Ram Carcasses to Armadillo,,,,,
537,Deliver 5 pieces of Fry Bread to the Colter Saloon,,,,,
538,Drop off crates containing 5 Bottles of Milk to 5 locations,,,,,
539,Bring 4 Muskrat Carcasses to the butcher in Rhodes,,,,,
540,40 Packets of ground Tobacco needed at Valentine Freight Depot,,,,,
541,Bring 10 Servings of French Bread to the Saint Denis Soup Kitchen,,,,,
542,Bring 2 Ram Carcasses to the butcher in Colter,,,,,
543,Bring 10 Cut Rubies to Plainview,,,,,
544,Deliver 30 bottles of Moonshine to a Valentine Saloon,,,,,
545,Deliver crates containing 10 Milk Bottles to three destinations.,,,,,
546,Deliver 20 Flint to the Village of Wapiti,,,,,
547,Deliver 10 Desert Sage to the Saint Denis Greenhouse,,,,,
548,Deliver 10 Crated Chopped Wood to Four locations starting at Beechers Hope.,,,,,
549,Deliver 60 Rolled Cigarettes to the Saloon in Tumbleweed,,,,,
550,Deliver 30 Dice to the Blackwater Saloon,,,,,
551,Bring a Panther Carcass to Saint Denis,,,,,
552,Bring 4 good or perfect Deer Hides to the Colter Butcher,,,,,
553,Bring 10 Black Currants to the Rhodes Medical Office,,,,,
554,Deliver Crates of 30 Coal each to 6 customers,,,,,
555,Deliver 20 Crated Coal to 3 Customers from the Heartlands to Big Valley,,,,,
556,Drop off crates with 15 Moonshine to 2 waiting customers,,,,,
557,Bring 4 Cut Diamonds to Mount Hagen,,,,,
558,Travel to Ridgewood Farm and help out with chores.,,,,,
559,Deliver 5 Pieces of Junk to the Incinerator,,,,,
560,Delivery crates of 48 Cigars to 2 customers in Blackwater and Tumbleweed.,,,,,
561,Bring 3 Perfect Deer Carcasses to the butcher in Strawberry,,,,,
562,Deliver 12 Parasol Mushrooms to the back door of the Blackwater Restaurant,,,,,
563,Bring 3 Whitetail Deer Carcasses to Thieves Landing,,,,,
564,Bring 40 Teeth to the Old Hut in the Grizzlies,,,,,
565,Deliver 10 bottles of Moonshine in crates to 5 customers,,,,,
566,Deliver 60 units of Coal to Benedict Point,,,,,
567,Bring 4 Pronghorn Carcasses to Strawberry Butcher,,,,,
568,Deliver 15 bottles of Moonshine to Roanoke Ridge,,,,,
569,Deliver 30 bottles of Moonshine to Bacchus Station,,,,,
570,Deliver 30 bottles of Moonshine to the Annesburg Docks,,,,,
571,Bring 3 Beaver carcasses to the Strawberry butcher,,,,,
572,Deliver 15 units of Chopped Wood to Strawberry,,,,,
573,8 Alaskan Ginseng needed at Rhodes Medical Office,,,,,
574,15 Glasses of Lemonade are needed at the Tumbleweed General Store,,,,,
575,Deliver 8 Prairie Poppies to Beecher's Hope,,,,,
576,Five customers are awaiting delivery of crates of 10 Moonshine each,,,,,
577,Bring 3 Pronghorn Carcasses to the butcher in Valentine,,,,,
578,Deliver 60 units of Coal to Macfarlane Station,,,,,
579,Deliver 10 Servings of Long Island Iced Tea to the Saloon in Tumbleweed,,,,,
580,Deliver 5 Sweet Potatoes to the Mess Hall,,,,,
581,Bring 1 Perfect Cougar Pelt to the butcher in Strawberry,,,,,
582,Bring 3 Whitetail Deer Carcasses to the Valentine Butcher,,,,,
583,Deliver 20 units of Coal to Saint Denis,,,,,
584,Deliver 20 units of Coal to Roanoke Rail Construction,,,,,
585,Bring 2 Duck Carcasses to the butcher in Saint Denis,,,,,
586,10 Parasol Mushrooms requested at Saint Denis Medical,,,,,
587,Bring 4 Coyote Carcasses to the Strawberry Butcher,,,,,
588,Deliver 3 Burned Potatoes to Hotbox 3,,,,,
589,Bring 3 Whitetail Deer Carcasses to the Blackwater Butcher,,,,,
590,Bring 2 Pronghorn Carcasses to the butcher at Valentine,,,,,
591,Bring 5 Hot Ale Flips to the Colter Saloon,,,,,
592,5 Agarita Wildflower needed at the Emerald Speakeasy,,,,,
593,Bring 1 Rabbit and 1 Deer Carcass to the butcher in Strawberry,,,,,
594,Bring 3 Torches to the Inner Barn,,,,,
595,Deliver 20 Oranges to Valentine,,,,,
596,Deliver 20 Flint to the Gunsmith in Armadillo,,,,,
597,Bring 40 Teeth to the old hut in the Grizzlies,,,,,
598,Bring 4 Coyote Carcasses to the Tumbleweed Butcher,,,,,
599,Deliver 1 stick of Dynamite to the canyons of Hennigan's Stead,,,,,
600,Bring 10 Wild Rhubarb to Valentine Medical Office,,,,,
601,Bring 40 Toe Nails to the Old Hut in the Grizzlies,,,,,
602,5 Agarita Wildflowers needed at the Emerald Speakeasy,,,,,
603,Deliver 30 units of coal in crates to 4 locations,,,,,
604,Travel to Downes Ranch and help out with chores.,,,,,
605,15 Servings of Lemonade NEEDED at the Tumbleweed General Store,,,,,
606,Bring 3 Whitetail Deer Carcasses to the Strawberry Butcher,,,,,
607,Deliver 5 Servings of Potato Soup to the saloon in Tumbleweed,,,,,
608,Bring 20 Potatoes to the Arrival Dock,,,,,
609,Deliver 30 Units of Raw Ammolite to the Blackwater Gunstore,,,,,
610,Bring a Cougar Carcass to Saint Denis,,,,,
611,Macfarlane's Ranch has work for you to complete.,,,,,
612,Deliver 5 bottles of Moonshine to the house at Lake Don Julio,,,,,
613,Deliver 30 oranges to the general store in Blackwater,,,,,
614,Bring 10 Wild Rhubarbs to Valentine Medical Office,,,,,
615,Deliver 5 Wild Feverfew to the Rhodes Medical Office,,,,,
616,Bring 4 Coyote Carcasses to the Rhodes Butcher,,,,,
617,Deliver 20 Oregano to the Tumbleweed General Store,,,,,
618,Deliver 2 Torches to the Incinerator,,,,,
619,Deliver 10 glasses of Long Island Iced Tea to the Rhodes Parlour House,,,,,
620,Deliver 60 ROLLED CIGARETTES to the Saloon in Tumbleweed,,,,,
621,Deliver 2 Gold Bars to the Abandoned Mansion near Van Horn,,,,,
622,Bring 4 good or perfect Deer Hides to the Strawberry Butcher,,,,,
623,Deliver 5 Strong Carnivore Baits to Manzanita Post,,,,,
624,Bring 4 Small Gator Carcasses to the butcher in Rhodes,,,,,
625,Bring 10 Cut Rubies to Butcher's Creek,,,,,
626,Deliver 15 bottles of Moonshine to a basement in Benedict Point,,,,,
627,Deliver 15 Vials of Blood to the Saint Denis Medical Office.,,,,,
628,Deliver 35 bottles of Moonshine to Gaptooth Mine,,,,,
629,Bring 2 Pronghorn Deer Carcasses to Armadillo Butcher,,,,,
630,Please deliver 10 bottles of the finest milk to Adler Ranch in northern Ambarino.,,,,,
631,10 Potatoes needed at Fort Wallace posthaste!,,,,,
632,Deliver 10 bottles of Moonshine to Quaker's Cove,,,,,
633,Deliver 15 Vials of Blood to Blackwater Medical,,,,,
634,Bring 5 Chickens to the butcher in Saint Denis,,,,,
635,Crates of 30 Coal needed at 5 Locations,,,,,
636,Deliver 10 units of Coal in crates to 2 customers,,,,,
637,Deliver 10 Vials of Blood to the strange shack in the East Grizzlies.,,,,,
638,10 Texas Bluebonnets requested at Caliga Hall,,,,,
639,Dump 10 Dirt and Pebbles in the Graveyard,,,,,
640,Crates of 20 units of Coal each to be delivered to Quaker's Cove and Manzanita Post,,,,,
641,Deliver 15 units of Crated Coal to 4 locations across New Austin,,,,,
642,Travel to Maclean's Ranch and help out with chores.,,,,,
643,Bestow 1 Bible to the Outer Barn,,,,,
644,Bring 10 Chanterlle to the House at Lake Don Julio,,,,,
645,Deliver 5 bottles of Moonshine to Flatneck Station,,,,,
646,Crates of 10 Bottles of Moonshine needed at 5 Drop Points,,,,,
647,Bring 4 Coyote Carcasses to the Armadillo Butcher,,,,,
648,Deliver Crates of 40 Coal each to 5 locations from Blackwater to northern Ambarino.,,,,,
649,Bring 3 Pronghorn Carcasses to the Butcher in Thieves Landing,,,,,
650,5 Pieces of Indian Tobacco needed at Armadillo Depot,,,,,
651,Bring 1 Snapping Turtle to the butcher in Saint Denis,,,,,
652,Bring 5 Potatoes to the Graveyard,,,,,
653,Deliver 2 Alpine Goat carcasses to the butcher in Butcher's Creek,,,,,
654,Deliver 10 bottles of crated Moonshine to 5 locations from north to south.,,,,,
655,7 Golden Currant Needed at Armadillo Medical Tents,,,,,
656,Deliver 10 English Mace to the Rhodes Medical Office,,,,,
657,Bring 5 Potatoes to the Arrival Dock,,,,,
658,Deliver 10 bottles of Moonshine to the lab in Roanoke,,,,,
659,Bring 20 Sticks to the Incinerator,,,,,
660,Bring 1 Perfect Cougar Pelt to the butcher in Armadillo,,,,,
661,Bring 4 Pig Carcasses to the butcher in Strawberry,,,,,
662,Deliver a Crate with 20 Coal to 6 separate locations across Ambarino.,,,,,
663,Deliver 15 Vials of Blood to the Laboratory in Roanoke,,,,,
664,Drop off crates containing 30 Coal to 6 customers from the Plains to Roanoke.,,,,,
665,Deliver 10 crated Moonshine to 5 customers.,,,,,
666,Deliver 30 Dice to the saloon north of Emerald Ranch,,,,,
667,Haul 20 units of Coal to the undertaker in Rhodes,,,,,
668,Crates of 20 Coal each needed at 6 locations,,,,,
669,Deliver 40 Flint to the Blackwater construction site,,,,,
670,Deliver 10 bottles of Moonshine to Hanging Dog,,,,,
671,Deliver 60 Rolled Cigarettes in crates to 4 customers.,,,,,
672,Bring 4 Small Gator Carcasses to the butcher in Saint Denis,,,,,
673,Bring 3 Bison Pelts to the butcher in Rhodes,,,,,
674,Deliver 30 bottles of Moonshine to Le Lion D'or in Saint Denis.,,,,,
675,Deliver a Crate with 20 Coal to Butcher's Creek and the Saint Denis Docks,,,,,
676,Deliver 5 bottles of Moonshine to Dakota Ranch,,,,,
677,"Deliver 40 units of Crated Coal to Valentine, Strawberry, Manzanita, and Armadillo.",,,,,
678,Bring 1 Rabbit & 1 Deer Carcass to the butcher in Saint Denis,,,,,
679,2 Drop-Offs of 20 crated coal each.,,,,,
680,Deliver 10 bottles of Moonshine to Bacchus Station,,,,,
681,Bring 10 Potatoes to the Arrival Dock,,,,,
682,Bring 2 Rabbit Carcasses to the butcher in Saint Denis,,,,,
683,Bring 10 Wild Rhubarb to the Valentine Medical Office,,,,,
684,Deliver 5 bowls of Potato Soup to the saloon in Tumbleweed,,,,,
685,Travel to Beecher's Hope and help out with chores.,,,,,
686,Bring 5 bowls of Peach Cobbler to the Colter Saloon,,,,,
687,Deliver 8 Grilled Bananas to the Fortune Teller,,,,,
688,Deliver 20 Oranges to Smithfield's in Valentine,,,,,
689,Deliver a Crate with 100 units of Coal to 2 locations.,,,,,
690,Crates with 25 Coal each to be delivered to 3 customers,,,,,
691,Deliver 10 bottles of Moonshine to Cholla Spings,,,,,
692,Bring 4 Rabbit Carcasses to the butcher in Valentine,,,,,
693,Deliver 15 bottles of Moonshine to the Colter Saloon,,,,,
694,Deliver 10 Worms to the Mess Hall,,,,,
695,40 Pieces of Tobacco to be brought to Blackwater Freight Depot,,,,,
696,The Parlour House in Rhodes seeks delivery of 20 oranges,,,,,
697,Deliver 25 oranges to Annesburg,,,,,
698,Bring 2 Fox Carcasses to Rhodes,,,,,
699,20 Units of Coal in Crates to be delivered to 4 customers from Saint Denis to Big Valley,,,,,
700,Deliver 20 crated coal to 6 businesses and homes,,,,,
701,Deliver 15 bottles of Moonshine to Saint Denis,,,,,
702,Deliver 5 Violet Snowdrops to the Sain Denis Greenhouse,,,,,
703,Deliver 30 pieces of Flint to the hunters at Manzanita Post.,,,,,
704,Bring 2 Muskrat Carcasses to the butcher in Valentine,,,,,
705,Bring 3 Whitetail Deer Carcasses to Butcher's Creek Butcher,,,,,
706,Crates with 25 Coal each to be delivered to 3 customers in the South,,,,,
707,Bring 2 Pronghorn Carcasses to Valentine,,,,,
708,5 Pieces of Indian Tobacco to be brought to Annesburg Depot,,,,,
709,Bring 5 Bowls of Peach Cobbler to the Colter Saloon,,,,,
710,100 Rolled Cigarettes in crates to be delivered to 2 customers,,,,,
711,Deliver 10 glasses of Long Island Iced Tea to the saloon in Tumbleweed,,,,,
712,Bring 1 Rabbit & 1 Deer Carcass to the butcher in Butcher's Creek,,,,,
713,Deliver 20 bottles of Moonshine to Rhodes,,,,,
714,5 Agarita Wildflowers requested at Painted Sky Ranch,,,,,
715,"Drop off crates of 20 coal to customers in Lagras, Caliga Hall, and Braithwaite Manor",,,,,
716,Bring 3 Perfect Deer Carcasses to the butcher in Rhodes,,,,,
717,Deliver 30 oranges to the general store in Valentine,,,,,
718,5 Pieces of Indian Tobacco to be brought to Saint Denis Docks,,,,,
719,Crates with 30 Coal each to be delivered to 6 locations,,,,,
720,Bring 2 Pronghorn Carcasses to the Valentine Butcher,,,,,
721,Crates of 40 units of Coal each to be delivered 4 locations. Last stop Colter.,,,,,
722,Bring 5 Pronghorn Carcasses to the Blackwater Butcher,,,,,
723,Bring 3 Whitetail Deer Carcasses to the Rhodes Butcher,,,,,
724,Haul 20 units of Coal to Doyle's Tavern in Saint Denis,,,,,
725,Deliver 1 Alpine Goat carcass to the butcher in Armadillo.,,,,,
726,Deliver 15 bottles of Moonshine to Twin Rocks,,,,,
727,Travel to Hill Haven Ranch and complete chores.,,,,,
728,Deliver 15 bottles of Moonshine to the hoggery.,,,,,
729,Haul 20 units of Coal to the church in Valentine,,,,,
730,15 Glasses of Lemonade are needed at the Armadillo General Store,,,,,
731,Deliver 5 bottles of Moonshine to Annesburg,,,,,
732,Drop off crates of 15 Moonshine in 5 locations.,,,,,
733,Crates with 40 Coal each to be delivered to 8 customers,,,,,
734,Deliver 6 Medical Bags to Aguasdulces Circle,,,,,
735,Deliver 5 bottles of Moonshine to Adler Ranch,,,,,
736,Bring 10 Milkweed to the Valentine Medical Office,,,,,
737,Bring 10 Thyme to the Bayou out in Lakay,,,,,
738,Deliver 5 bottles of Moonshine to Cholla Springs,,,,,
739,Deliver 20 units of coal in crates to 4 customers around Cumberland,,,,,
740,Deliver 30 Bandages to the Smoking Bunker,,,,,
741,Deliver crates of 10 Moonshine each to five customers,,,,,
742,Deliver 4 Pronghorn Carcasses to the Armadillo butcher. Quality doesn't matter.,,,,,
743,Deliver 20 units of coal to Valentine,,,,,
744,Help with chores at Macfarlane's Ranch.,,,,,
745,15 Servings of Lemonade are needed at the Armadillo General Store,,,,,
746,Bring 4 Machetes to the Colosseum,,,,,
747,Deliver 15 bottles of Moonshine just north of Strawberry.,,,,,
748,Deliver 30 Bandages to the Colosseum,,,,,
749,Crates of 40 Rolled Cigarettes each needed for 3 merchants,,,,,
750,Crates of 20 Coal each to be dropped at 3 locations.,,,,,
751,Deliver 5 Bibles to Butcher's Creek,,,,,
752,Bring 12 Gun Oil to the Banana Fields Storage,,,,,
753,40 Pieces of ground Tobacco requested at the Strawberry Freight Depot,,,,,
754,Bring 40 toe nails to the old hut in the Grizzlies,,,,,
755,Deliver 20 Flints to the village of Wapiti,,,,,
756,Deliver 60 Rolled Cigarettes to the saloon in Tumbleweed,,,,,
757,Deliver 12 Cooked Sausages to the Lemon Fields,,,,,
758,Bring 200 rounds of Handgun Ammo to the Arms Dealer Tent,,,,,
759,Deliver 30 Oranges to the Saint Denis Docks,,,,,
760,Deliver 10 bottles of Moonshine to the homestead at Brandywine,,,,,
761,Deliver 60 Rolled Cigarettes to the Valentine General Store,,,,,
762,Deliver 30 bottles of Moonshine to the Jade Dragon Restaurant Backdoor,,,,,
763,Offer 10 Bird Feathers at La Madre's Shrine,,,,,
764,Deliver 5 bottles of Moonshine to Cholla Spings,,,,,
765,Deliver 15 bottles of Moonshine to The Anna Nash at the Saint Denis docks,,,,,
766,Deliver 20 Oranges to the Saint Denis Market,,,,,
767,Deliver 20 crated Coal to 5 locatons. Final stop is Strawberry.,,,,,
768,Deliver 15 bottles of Moonshine to Hanging Dog,,,,,
769,Offer 10 Lemons at La Madre's Shrine,,,,,
770,Deliver 15 bottles of Moonshine to the circus outside Armadillo,,,,,
771,Travel to Hill Haven Ranch and complete five chores.,,,,,
772,Deliver 5 bottles of Moonshine to a Valentine Saloon,,,,,
773,Deliver 20 Oranges to the Saint Denis Cathedral,,,,,
774,Deliver 6 Caribbean Rum to the Painter's House,,,,,
775,Deliver 20 bottles of Moonshine to Twin Rocks,,,,,
776,20 Bananas needed at the Port Produce Tent,,,,,
777,Deliver 100 Rolled Cigarettes to the Saloon in Blackwater,,,,,
778,Bring 20 Rolled Cigarettes to Doctor's Office,,,,,
779,Crates with 20 Coal each to be delivered to 11 customers. Last stop Tumbleweed,,,,,
780,Bring 12 Cigars to the Waterfall Saloon,,,,,
781,Bring 4 Camp Fire Kits to the Bungalows,,,,,
782,Deliver 15 bottles of Moonshine to Shady Belle,,,,,
783,Deliver 25 Oranges to the general store in Rhodes,,,,,
784,Deliver 15 bottles of Moonshine to the smugglers at the Sea of Coronado,,,,,
785,Bring 15 Bananas to the Donkey Barn,,,,,
786,Deliver 8 Lemonade to the Compound Armory,,,,,
787,Bring 5 Vials of Blood to the Courtchurch,,,,,
788,Bring 20 Oregano leaves to Saint Denis Medical,,,,,
789,Deliver 5 Pirate Rum to the Poker Pirateship,,,,,
790,Travel to Ridgewood Farm and help out.,,,,,
791,Bring 15 Popcorn to the Colosseum,,,,,
792,Crates of 10 Bottles of Moonshine needed at 5 drop points,,,,,
793,20 Lemons needed at the Port Produce Tent,,,,,
794,Deliver 30 Sugar Cane to the Mountain-top Hermit House,,,,,
795,"Deliver a Crate with 20 Coal to Rhodes, Dewberry Creek, and Emerald.",,,,,
796,Bring 3 Notebooks to the TIcket Booth at the Port,,,,,
797,Deliver 8 Bowls of Fish Stew to the Bungalows,,,,,
798,Deliver 12 Lemonade to the Waterfall Saloon,,,,,
799,Deliver 15 bottles of Moonshine to Plainview,,,,,
800,Bring 5 Torches to the Fortress,,,,,
801,50 bottles of Cane Syrup are needed at the Port Docks,,,,,
802,Deliver 15 Cooked Succulent Fish to the Sandcastle Restauraunt ,,,,,
803,Bring 3 Pig Carcasses to the butcher at Thieves' Landing,,,,,
804,Bring 5 Pirate Rum to the Mountain-Top Overlook Camp,,,,,
805,Bring 10 Cornmeal to the Birdhunter Tent,,,,,
806,20 Coal are needed at the Port Docks,,,,,
807,Deliver 5 Pirate Rum to the Central Ruins Hideout,,,,,
808,Bring 12 Cigars to the Barber at the Port,,,,,
809,10 Tobacco Leaves desperately needed at the North Island Overlook,,,,,
810,Deliver 5 Medical Bags to the North Island Boat Launch,,,,,
811,40 Pieces of ground Tobacco needed at Valentine Freight Depot,,,,,
812,Deliver 10 bottles of Moonshine to Shady Bell,,,,,
813,Bring 20 Ground Tobacco to the Supply Store,,,,,
814,Deliver 10 Fish Tacos to La Playa Town Center,,,,,
815,Deliver 10 Slow-Cooked Kebabs to the Sandcastle Restauraunt ,,,,,
816,Deliver 10 bottles of Moonshine to the Annesburg Docks,,,,,
817,Bring 3 Sheep Carcasses to the butcher in Butcher's Creek,,,,,
818,Bring 3 Poor Quality Crabs to the Butcher at the Port,,,,,
819,Bring 30 Sugar Cane to the Moonshine Hut on the North Island,,,,,
820,Bring 20 Coal to the Waterside Cliff Banker Boat,,,,,
821,Carry 40 Flint to the Writer's Tent,,,,,
822,Bring 20 Lemons to the beach Fishing Hut,,,,,
823,Bring 10 Torches to the North Explorer Tent,,,,,
824,Bring 5 bottles of Moonshine to the Overlook Tent,,,,,
825,Deliver 30 Corn to the Courtchurch Kitchen,,,,,
826,Bring 25 Sugar Cubes to the Palmist Beach Restaurant,,,,,
827,Bring 10 Corn to the Donkey Barn,,,,,
828,Deliver 10 bottles of Moonshine to the Jade Dragon Restaurant Backdoor,,,,,
829,Help out with chores at Emerald Ranch,,,,,
830,Help out with chores at Pronghorn Ranch.,,,,,
831,Deliver 10 crated Moonshine to 4 customers,,,,,
